sn_name,sample_name,source_file,status,fit_message,max_status,max_fit_message,ebv2_status,ebv2_fit_message,z,sample_redshift,sample_rasn,sample_decsn,sample_sntype,sample_redshift_source,max_Tmax,max_e_Tmax,max_sBV,max_e_sBV,max_st,max_e_st,ebv2_Tmax,ebv2_e_Tmax,ebv2_sBV,ebv2_e_sBV,ebv2_st,ebv2_e_st,ebv2_EBVhost,ebv2_e_EBVhost,B_Tmax,B_e_Tmax,g_Tmax,g_e_Tmax,r_Tmax,r_e_Tmax,B_Mmax,B_e_Mmax,g_Mmax,g_e_Mmax,r_Mmax,r_e_Mmax,B_Mcorr,B_kcor,g_Mcorr,g_kcor,r_Mcorr,r_kcor,EBVgal,max_rchisq,ebv2_rchisq,bands_available,max_bands_used,max_fit_attempts,ebv2_bands_used,ebv2_fit_attempts,k_version,stype,max_plot_file,ebv2_plot_file,max_fit_file,ebv2_fit_file,B_source,g_source,r_source,failure_group
2020nvb,,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/SN2020nvb_raw.txt,failed,All weights for filter ztf_r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter ztf_r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ztf_r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ztf_r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.0029013445787122,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"g13,ATri,WFCAMY,WFCAMJ,WFCAMH,ztf_r,ztf_g",,"g13,ATri,WFCAMY,WFCAMJ,WFCAMH,ztf_r,ztf_g | g13,ATri,WFCAMY,ztf_r,ztf_g | g13,ATri,ztf_r,ztf_g",,"g13,ATri,WFCAMY,WFCAMJ,WFCAMH,ztf_r,ztf_g | g13,ATri,WFCAMY,ztf_r,ztf_g | g13,ATri,ztf_r,ztf_g",H3,st,,,,,,,,too sparse / no useful data in required bands
ASASSN-14ba,ASASSN-14ba,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-14ba_raw.txt,failed,All weights for filter ATri are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter ATri are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ATri are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ATri are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.032646,0.032646,10:21:31.90,+08:24:21.12,Ia-91T,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"ATri,ztfg,ztfr,ztfi",,"ATri,ztfg,ztfr,ztfi",,"ATri,ztfg,ztfr,ztfi",H3,st,,,,,,,,too sparse / no useful data in required bands
ASASSN-14cu,ASASSN-14cu,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-14cu_raw.txt,failed,"All weights for filter ATri are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | Error:  to solve for EBVhost, you need to fit more than one filter",failed,All weights for filter ATri are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,"Error:  to solve for EBVhost, you need to fit more than one filter",0.024727,0.024727,12:47:02.68,-24:14:41.30,Ia,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,ATri,,ATri,,ATri,H3,st,,,,,,,,too sparse / insufficient filters
ASASSN-14dd,ASASSN-14dd,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-14dd_raw.txt,failed,All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.017842,0.017842,07:45:14.38,-71:24:14.04,Ibn,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"ATgr,ATri",,"ATgr,ATri",,"ATgr,ATri",H3,st,,,,,,,,too sparse / no useful data in required bands
ASASSN-14dz,ASASSN-14dz,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-14dz_raw.txt,failed,All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter ATgr are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.02232,0.02232,15:05:54.522,+12:44:43.33,Ia,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"ATgr,ztfg,ztfr",,"ATgr,ztfg,ztfr",,"ATgr,ztfg,ztfr",H3,st,,,,,,,,too sparse / no useful data in required bands
ASASSN-14ig,ASASSN-14ig,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-14ig_raw.txt,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.029115,0.029115,01:16:04.95,-61:37:16.70,Ia,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"B,V,g,i,r,u",,"B,V,g,i,r,u",,"B,V,g,i,r,u",H3,st,,,,,,,,too sparse / no useful data in required bands
ASASSN-14mg,ASASSN-14mg,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/ASASSN-14mg_raw.txt,failed,"Improper input: func input vector length N=3 must not exceed func output vector length M=2 | Error:  to solve for EBVhost, you need to fit more than one filter",failed,Improper input: func input vector length N=3 must not exceed func output vector length M=2,failed,"Error:  to solve for EBVhost, you need to fit more than one filter",0.032295,0.032295,02:53:58.10,-21:38:52.86,Ia,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,ATri,,ATri,,ATri,H3,st,,,,,,,,too sparse / insufficient filters
CSP12J,CSP12J,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/CSP12J_raw.txt,partial,Error:  Covariance Matrix is singular.  Either two or more parameters are degenerate or the model has become insensitive to one or more parameters.,failed,Error:  Covariance Matrix is singular.  Either two or more parameters are degenerate or the model has become insensitive to one or more parameters.,ok,,0.01468,0.014756,06:07:01.59,-69:21:17.10,Ia-91bg,corez_zobs,0.0,0.0,,,,,56255.39875344476,0.8287218136026776,0.6627272298405052,0.0075833783251075,0.5841752997035089,0.0266031668136506,0.1452406864646878,0.0493175184097215,,,,,,,,,,,,,,,,,,,0.0,,,"B,g,i,r,u,V",,"B,g,i,r,u,V","B,g,i,r,u,V","B,g,i,r,u,V",H3,st,,,,/private/tmp/snpy_fits_filtercheck/CSP12J_ebvmodel2.snpy,,,,"partial: max_model failed, EBV_model2 ok"
CSP13V,CSP13V,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/CSP13V_raw.txt,failed,All weights for filter g are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter g are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter g are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter g are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.055605,0.055605,10:13:10.00,-16:31:54.00,Ia,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"B,H,J,V,Y,g,i,r,u",,"B,H,J,V,Y,g,i,r,u | B,V,g,i,r,u",,"B,H,J,V,Y,g,i,r,u | B,V,g,i,r,u",H3,st,,,,,,,,too sparse / no useful data in required bands
CSP13abl,CSP13abl,/Users/lluisgalbany/Downloads/HST_UV/data/light_curves/SNooPy/CSP13abl_raw.txt,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data. | All weights for filter r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter B are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,failed,All weights for filter r are zero. The fitter is in a part of parameter space where the model is not valid or there is no useful data.,0.040372,0.040023,06:38:06.97,-75:43:37.21,Ia,corez_zobs,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,"B,i,H,r,V,Y,Jrc2",,"B,i,H,r,V,Y,Jrc2 | B,i,H,r,V,Y | B,i,r,V",,"B,i,H,r,V,Y,Jrc2 | B,i,H,r,V,Y | B,i,r,V",H3,st,,,,,,,,too sparse / no useful data in required bands
